i,j,acf_peak_lag_samples,acf_peak_period_days,acf_peak_value,psd_peak_freq_cyc_per_day,psd_peak_period_days,psd_peak_power
57,459,1,0.125,0.9825828722827306,0.0027397260273972603,365.0,162.2838123470921
169,476,1,0.125,0.9790512876263205,0.0027397260273972603,365.0,112.07852864520802
189,139,1,0.125,0.9852857829310536,0.0027397260273972603,365.0,148.54083757154123
12,165,1,0.125,0.9973486453379455,0.0027397260273972603,365.0,2049.37481111651
163,520,1,0.125,0.979069985043236,0.0027397260273972603,365.0,121.55373605519156
174,425,1,0.125,0.9791090454529596,0.0027397260273972603,365.0,106.56231555025154
108,693,1,0.125,0.9782648341194563,0.008219178082191782,121.66666666666666,213.71788834577322
0,550,1,0.125,0.9920957368288781,0.0027397260273972603,365.0,2163.5762426591878
49,99,1,0.125,0.9829141458238233,0.0027397260273972603,365.0,223.6921234363163
49,722,1,0.125,0.9866231490609946,0.0027397260273972603,365.0,200.49296750257915
65,337,1,0.125,0.9803705545762755,0.0027397260273972603,365.0,146.5892473984197
78,45,1,0.125,0.976996198833197,0.008219178082191782,121.66666666666666,193.49167209204776
168,740,1,0.125,0.9809845377802523,0.0027397260273972603,365.0,134.3965724520594
189,264,1,0.125,0.985790258960953,0.0027397260273972603,365.0,122.61444728394896
62,458,1,0.125,0.9815341205192746,0.0027397260273972603,365.0,164.54555766256973
81,43,1,0.125,0.9772010374501111,0.008219178082191782,121.66666666666666,190.91384510377986
26,457,1,0.125,0.9970705215163357,0.0027397260273972603,365.0,1378.166376836012
136,236,1,0.125,0.9762686099943478,0.0027397260273972603,365.0,152.34747681778077
164,121,1,0.125,0.9746211722604684,0.0027397260273972603,365.0,137.89829411320798
74,359,1,0.125,0.9792567513424016,0.008219178082191782,121.66666666666666,175.64831568235013
172,465,1,0.125,0.9792025172285682,0.0,inf,109.03968776127567
196,113,1,0.125,0.9848919001309289,0.0027397260273972603,365.0,170.18084381315364
113,682,1,0.125,0.9786335906263628,0.008219178082191782,121.66666666666666,197.2804819716448
50,305,1,0.125,0.9841209890055028,0.0027397260273972603,365.0,194.6568669706246
134,447,1,0.125,0.9773471927126234,0.0027397260273972603,365.0,156.52024732459626
59,622,1,0.125,0.9828173219921958,0.0027397260273972603,365.0,188.5779236764558
132,86,1,0.125,0.9749913025945854,0.0027397260273972603,365.0,145.061008538578
2,160,1,0.125,0.9940516761186525,0.0027397260273972603,365.0,2204.4643087115605
11,789,1,0.125,0.9975625897925102,0.0027397260273972603,365.0,1940.6203034777275
137,429,1,0.125,0.9775509004438936,0.0027397260273972603,365.0,153.34938148136007
171,169,1,0.125,0.9759183068131064,0.0027397260273972603,365.0,132.54275050908004
125,701,1,0.125,0.9797536333451907,0.008219178082191782,121.66666666666666,162.15079918504364
8,466,1,0.125,0.9970445847866427,0.0027397260273972603,365.0,2047.2088831600392
182,348,1,0.125,0.9825694257894484,0.0027397260273972603,365.0,108.27572681910047
90,111,1,0.125,0.9776153504748373,0.008219178082191782,121.66666666666666,169.77803835645977
142,381,1,0.125,0.976959199304838,0.0027397260273972603,365.0,145.0592098146656
15,256,1,0.125,0.9973731739148581,0.0027397260273972603,365.0,1987.813011305034
53,64,1,0.125,0.9822786803439811,0.0027397260273972603,365.0,175.10704774335628
54,503,1,0.125,0.9840159697446802,0.0027397260273972603,365.0,170.08601832750355
102,581,1,0.125,0.9771102198929288,0.008219178082191782,121.66666666666666,207.0045942804102
102,455,1,0.125,0.9761107059600241,0.008219178082191782,121.66666666666666,180.71967751386202
110,350,1,0.125,0.9765323295347498,0.0027397260273972603,365.0,159.66760092057808
88,653,1,0.125,0.9783511054214764,0.008219178082191782,121.66666666666666,238.92413506304604
192,267,1,0.125,0.9858407122033513,0.0027397260273972603,365.0,127.47359445679977
184,671,1,0.125,0.9841968240722194,0.0,inf,113.156989711737
147,415,1,0.125,0.9771653311610831,0.0027397260273972603,365.0,139.98111372768147
7,158,1,0.125,0.9967821588625423,0.0027397260273972603,365.0,2128.001836889696
39,691,1,0.125,0.9921478436166671,0.0027397260273972603,365.0,371.2047091041797
185,276,1,0.125,0.9847843237560324,0.0027397260273972603,365.0,117.78383924304674
110,614,1,0.125,0.977286177775643,0.008219178082191782,121.66666666666666,195.15150154708644
187,758,1,0.125,0.9846212360162155,0.0,inf,113.25699492441531
157,599,1,0.125,0.9797183401137555,0.0027397260273972603,365.0,141.10460908718426
37,677,1,0.125,0.9938760815187658,0.0027397260273972603,365.0,496.7577773103654
91,399,1,0.125,0.9760115132900522,0.008219178082191782,121.66666666666666,190.25229005252348
95,744,1,0.125,0.9786833302083636,0.008219178082191782,121.66666666666666,242.16499313010226
57,115,1,0.125,0.9816856112862576,0.008219178082191782,121.66666666666666,139.79766802462177
190,108,1,0.125,0.9852412693182971,0.0027397260273972603,365.0,156.58349304856097
191,410,1,0.125,0.9857699003052116,0.0027397260273972603,365.0,106.64495110796507
79,451,1,0.125,0.9786950539588752,0.008219178082191782,121.66666666666666,205.06570377495547
126,434,1,0.125,0.9774868878106754,0.0027397260273972603,365.0,161.9224650650894
130,31,1,0.125,0.9767780265762677,0.0027397260273972603,365.0,140.99983366813544
121,710,1,0.125,0.9793256899693815,0.008219178082191782,121.66666666666666,177.17998097511932
46,275,1,0.125,0.986237690955326,0.0027397260273972603,365.0,260.483322853732
94,96,1,0.125,0.977872497617644,0.008219178082191782,121.66666666666666,165.7621101364721
37,761,1,0.125,0.9941764355587512,0.0027397260273972603,365.0,503.8139351086166
98,388,1,0.125,0.9762489365008773,0.008219178082191782,121.66666666666666,176.85173701373242
26,641,1,0.125,0.9973648872421966,0.0027397260273972603,365.0,1356.8228204514692
24,276,1,0.125,0.9971728233061101,0.0027397260273972603,365.0,1572.1039864002405
157,8,1,0.125,0.9727566354892053,0.0027397260273972603,365.0,138.41982257548335
132,543,1,0.125,0.9784073874070374,0.0027397260273972603,365.0,153.42730012612463
12,770,1,0.125,0.997616988535093,0.0027397260273972603,365.0,1925.4318698225661
17,323,1,0.125,0.9973600439272475,0.0027397260273972603,365.0,1948.7081926035282
169,82,1,0.125,0.9733409058856815,0.0027397260273972603,365.0,140.56125083063318
166,79,1,0.125,0.972917120833954,0.0027397260273972603,365.0,140.27320939514726
22,446,1,0.125,0.9973144420344489,0.0027397260273972603,365.0,1693.809613245257
167,666,1,0.125,0.9809263561475895,0.0027397260273972603,365.0,133.8219637055855
85,251,1,0.125,0.9773643354359149,0.008219178082191782,121.66666666666666,176.42548633230646
60,434,1,0.125,0.9812100927694323,0.0027397260273972603,365.0,156.9248008071114
75,626,1,0.125,0.9810491559741708,0.008219178082191782,121.66666666666666,227.10153624798116
111,595,1,0.125,0.9773748933214848,0.008219178082191782,121.66666666666666,187.9795508098491
56,267,1,0.125,0.9819156592982284,0.0027397260273972603,365.0,148.6957308482915
54,788,1,0.125,0.9864695396117138,0.0027397260273972603,365.0,208.31501798064122
76,38,1,0.125,0.9773617512749447,0.008219178082191782,121.66666666666666,193.24023937156824
28,461,1,0.125,0.9967559708432416,0.0027397260273972603,365.0,1233.5306233790852
117,195,1,0.125,0.9763687884800228,0.0027397260273972603,365.0,153.364415633066
137,414,1,0.125,0.9778468686127468,0.0027397260273972603,365.0,152.70716042857657
19,720,1,0.125,0.9976565176183103,0.0027397260273972603,365.0,1822.6718598504162
130,299,1,0.125,0.9769440351595806,0.0027397260273972603,365.0,157.56623595510482
45,338,1,0.125,0.9873502888142244,0.0027397260273972603,365.0,265.5688856058976
33,176,1,0.125,0.9953566542338619,0.0027397260273972603,365.0,882.7881483347322
53,161,1,0.125,0.9828237017792347,0.0027397260273972603,365.0,176.3278517287704
54,392,1,0.125,0.9837058919551466,0.0027397260273972603,365.0,163.74381654953805
91,354,1,0.125,0.975740616869738,0.008219178082191782,121.66666666666666,182.96403740500983
123,698,1,0.125,0.9795829032960971,0.008219178082191782,121.66666666666666,168.30009750797078
24,0,1,0.125,0.9970609649365805,0.0027397260273972603,365.0,1630.805198410046
94,474,1,0.125,0.9761713865904816,0.008219178082191782,121.66666666666666,199.427993494423
36,770,1,0.125,0.9947940643712696,0.0027397260273972603,365.0,574.4236211032373
192,455,1,0.125,0.9850777151607164,0.0,inf,105.05308247078133
11,110,1,0.125,0.9973396258044916,0.0027397260273972603,365.0,2076.15326500813
27,87,1,0.125,0.9966999355451763,0.0027397260273972603,365.0,1395.4015083715074
19,605,1,0.125,0.9975737479579987,0.0027397260273972603,365.0,1849.7558762574988
79,100,1,0.125,0.9764931916720546,0.008219178082191782,121.66666666666666,187.53400108228047
182,698,1,0.125,0.9834552453914029,0.0,inf,116.50482631855998
167,667,1,0.125,0.9809347476359813,0.0027397260273972603,365.0,133.8643617507113
179,467,1,0.125,0.9814242187384392,0.0,inf,105.60460832265024
77,229,1,0.125,0.9781527662209124,0.008219178082191782,121.66666666666666,175.60702170237724
71,596,1,0.125,0.9816696344734768,0.008219178082191782,121.66666666666666,206.2233114411446
102,277,1,0.125,0.9764308847851868,0.008219178082191782,121.66666666666666,155.50236568637249
133,785,1,0.125,0.9811564520984016,0.008219178082191782,121.66666666666666,141.6420992475423
62,784,1,0.125,0.9851252380707322,0.0027397260273972603,365.0,212.29703124452809
104,626,1,0.125,0.9773525919262569,0.008219178082191782,121.66666666666666,211.7717904106331
40,362,1,0.125,0.9895642924308915,0.0027397260273972603,365.0,364.2245779856743
69,697,1,0.125,0.9834617377332044,0.008219178082191782,121.66666666666666,226.98693870372415
40,650,1,0.125,0.9913712660950205,0.0027397260273972603,365.0,328.56119310577674
183,692,1,0.125,0.9838085326522169,0.0,inf,115.0949695361873
95,495,1,0.125,0.9763990678503256,0.008219178082191782,121.66666666666666,202.16794199430316
65,338,1,0.125,0.9803594866139576,0.0027397260273972603,365.0,146.7516715384957
120,16,1,0.125,0.9775222267903744,0.0027397260273972603,365.0,137.88592215242613
